Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
09/24/1971,2.18227346973179,2.71188575345912,2.22255622860825,-1.51270717667502,-0.240741108210405,-1.05840952197669
10/01/1971,2.08910916390284,2.44502972736571,2.12093362538318,-1.47187135009565,-0.246759407310114,-1.04668483420089
10/08/1971,1.96396440711587,2.13256045985425,1.98969883665006,-1.43634629298558,-0.257730398686791,-1.03520099718552
10/15/1971,1.82457155309082,1.82409731412614,1.84651191075052,-1.40713069284579,-0.273590299476385,-1.02392406651085
10/22/1971,1.68733634503189,1.56174952825049,1.7076831139608,-1.38503998265942,-0.294147663142778,-1.01282382543495
10/29/1971,1.56629244392814,1.37805490164841,1.58702037849462,-1.37057067958722,-0.319119166563933,-1.00187582310779
11/05/1971,1.47112094054572,1.2891510612775,1.49396612758282,-1.36403588761668,-0.348004370178052,-0.991055368977475
11/12/1971,1.40509045241251,1.29261616941445,1.43166034506131,-1.36555203743767,-0.380219379900702,-0.980336555219011
11/19/1971,1.36761862806722,1.37360560340156,1.39924081574865,-1.37496156686209,-0.414995676138037,-0.969690517403499
11/26/1971,1.35193138067528,1.50210792468619,1.38975565098026,-1.39197936795102,-0.451425594078299,-0.959082777289611
12/03/1971,1.35004716557444,1.64745830038172,1.39493844226034,-1.41609078612357,-0.488539080992315,-0.948471056931183
12/10/1971,1.35299910688015,1.77826496863517,1.40558987661049,-1.44671458207282,-0.525296159769643,-0.937804521496444
12/17/1971,1.35068253274758,1.8659272994245,1.41137904263515,-1.48313852224296,-0.560657829623644,-0.927021785623784
12/24/1971,1.33498187924344,1.89126423228065,1.40408850504183,-1.52458185494238,-0.593778544700374,-0.916050981414273
12/31/1971,1.30284407314095,1.8505784730677,1.38043605869461,-1.5701875110639,-0.623820339604502,-0.904812787424565
01/07/1972,1.24488207527155,1.73416420376318,1.33113320361724,-1.61911627732251,-0.650097533362422,-0.893223864445947
01/14/1972,1.16990363295077,1.56949322832442,1.2646985112549,-1.67044774063947,-0.672084350715157,-0.881187507561463
