specification,analysis_group,sample_type,lag_criterion,equation,parameter,coef,std_error,t_stat,p_value,nobs,lag_order,aic,bic,hqic,fpe
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,usd_strength_daily_log_chg,L1.btc_eth_daily_log_ret_avg,0.0034778609862385927,0.002246951406564198,1.5478131730301066,0.12166728398752999,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,usd_strength_daily_log_chg,L1.btc_eth_realized_vol_7d,0.008818528757788956,0.005059062089389518,1.743115344696846,0.08131346876037791,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,usd_strength_daily_log_chg,L1.term_spread_daily_chg,-0.0004671302171655169,0.002000093403484149,-0.23355420119469386,0.8153310865417212,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,usd_strength_daily_log_chg,L1.usd_strength_daily_log_chg,-0.00017368598961226426,0.027742135590075486,-0.006260728884707742,0.9950046937168159,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,const,-8.101641559474098e-05,0.0004132377882235482,-0.1960527761582969,0.8445688580450597,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L1.stablecoin_supply_daily_log_chg,0.06860490859094445,0.026752067158166307,2.564471305538054,0.010333312313806988,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L1.hy_spread_daily_chg,0.0033893532332057268,0.0021861937935189132,1.5503443671158719,0.12105888375408394,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L1.ig_spread_daily_chg,-0.0067424795489283915,0.009519122702826116,-0.7083089229353696,0.47875343715594443,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L1.btc_eth_daily_log_ret_avg,-0.0020523333752837034,0.004086686893230764,-0.5021998085253883,0.6155269776231542,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L1.btc_eth_realized_vol_7d,0.011927308037470608,0.018687798578142182,0.638240399884294,0.5233172023631902,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L1.term_spread_daily_chg,0.0027733699366428582,0.0034706723847484303,0.7990872168834467,0.42423984134760995,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L1.usd_strength_daily_log_chg,0.0016252178817632856,0.047834415946614375,0.03397591147714882,0.9728963594647883,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L2.stablecoin_supply_daily_log_chg,0.15162010758486802,0.027093277258991633,5.596226183177925,2.1906786710945388e-08,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L2.hy_spread_daily_chg,0.0006012539401775707,0.002216606777717959,0.2712497075356657,0.7861989843864743,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L2.ig_spread_daily_chg,-0.01104705278574834,0.010425225717889858,-1.0596463889305932,0.28930550103777575,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L2.btc_eth_daily_log_ret_avg,-9.569324430872689e-05,0.004116119645047436,-0.023248411747181872,0.9814521220383673,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L2.btc_eth_realized_vol_7d,0.01842979883185718,0.025436658704783593,0.724536938823309,0.46873615794566204,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L2.term_spread_daily_chg,0.0014990619162058901,0.0034868182566278444,0.4299225843952234,0.6672519563448601,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L2.usd_strength_daily_log_chg,-0.035525364101718464,0.048142879406273154,-0.7379152335680489,0.46056596127178584,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L3.stablecoin_supply_daily_log_chg,0.05991277504686972,0.027566945808984406,2.1733555636527355,0.029753566545267188,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L3.hy_spread_daily_chg,-0.004745139959681271,0.0022100032844164347,-2.1471189627368608,0.03178381201460633,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L3.ig_spread_daily_chg,0.026276101770131767,0.010431765957882456,2.518854609681595,0.011773726131522885,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L3.btc_eth_daily_log_ret_avg,0.0029612106176552903,0.004128111655141308,0.7173281308821396,0.4731716535195257,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L3.btc_eth_realized_vol_7d,0.0009004538640264501,0.025290567671577793,0.035604335802964356,0.9715978510445877,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L3.term_spread_daily_chg,0.0028129978711114445,0.003499791809745224,0.8037614875486618,0.42153473569807076,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L3.usd_strength_daily_log_chg,0.0025447398433077113,0.04852314094978249,0.05244384006264785,0.958175042839167,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L4.stablecoin_supply_daily_log_chg,0.04825155155009532,0.027721608586994913,1.74057545754151,0.08175802271280586,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L4.hy_spread_daily_chg,-0.0021616647257187913,0.0022110775328168402,-0.9776521599244425,0.3282463903289534,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L4.ig_spread_daily_chg,0.031620240890279996,0.010452433538223654,3.025155890697366,0.002485050049798256,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,L4.btc_eth_daily_log_ret_avg,0.006111873615346826,0.004142016629643524,1.4755792073854697,0.14005689036363267,1481,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25
