specification,analysis_group,sample_type,lag_criterion,caused,causing,caused_variables,causing_variables,direction,test_scope,test,statistic,p_value,df,significant_10pct,significant_5pct,significant_1pct,lag_order,nobs,error,fdr_family,fdr_family_size,fdr_q_value,fdr_reject_10pct
lag_robustness_hqic_stablecoin_exchange_netflow_scaled,lag_robustness,common_business_day,hqic,stablecoin_exchange_netflow_scaled,hy_spread_daily_chg,stablecoin_exchange_netflow_scaled,hy_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,0.46792269252773283,0.4939596619882848,"(1, 10374)",False,False,False,1,1490,,,,,False
lag_robustness_hqic_stablecoin_exchange_netflow_scaled,lag_robustness,common_business_day,hqic,stablecoin_exchange_netflow_scaled,ig_spread_daily_chg,stablecoin_exchange_netflow_scaled,ig_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,2.510896851096761,0.11309205220621828,"(1, 10374)",False,False,False,1,1490,,,,,False
lag_robustness_hqic_stablecoin_exchange_netflow_scaled,lag_robustness,common_business_day,hqic,stablecoin_exchange_netflow_scaled,hy_spread_daily_chg + ig_spread_daily_chg,stablecoin_exchange_netflow_scaled,"hy_spread_daily_chg, ig_spread_daily_chg",risk_to_crypto,joint_risk_group,granger_causality_f_test,1.500977054882578,0.2229606622049515,"(2, 10374)",False,False,False,1,1490,,,,,False
primary_bic_stablecoin_exchange_reserve_daily_log_chg,primary,common_business_day,bic,hy_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,hy_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,0.12884186967549274,0.7196431678363497,"(1, 10374)",False,False,False,1,1490,,primary_forward_12_tests,12.0,0.8635718014036197,False
primary_bic_stablecoin_exchange_reserve_daily_log_chg,primary,common_business_day,bic,ig_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,ig_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,0.06481113889190906,0.7990523075496341,"(1, 10374)",False,False,False,1,1490,,primary_forward_12_tests,12.0,0.8716934264177827,False
primary_bic_stablecoin_exchange_reserve_daily_log_chg,primary,common_business_day,bic,stablecoin_exchange_reserve_daily_log_chg,hy_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,hy_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,0.20434805290222213,0.6512433299511777,"(1, 10374)",False,False,False,1,1490,,primary_reverse_12_tests,12.0,0.6512433299511777,False
primary_bic_stablecoin_exchange_reserve_daily_log_chg,primary,common_business_day,bic,stablecoin_exchange_reserve_daily_log_chg,ig_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,ig_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,2.0211850284262374,0.15514810596393788,"(1, 10374)",False,False,False,1,1490,,primary_reverse_12_tests,12.0,0.26596818165246494,False
primary_bic_stablecoin_exchange_reserve_daily_log_chg,primary,common_business_day,bic,stablecoin_exchange_reserve_daily_log_chg,hy_spread_daily_chg + ig_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,"hy_spread_daily_chg, ig_spread_daily_chg",risk_to_crypto,joint_risk_group,granger_causality_f_test,1.3860494340793577,0.25010754346381503,"(2, 10374)",False,False,False,1,1490,,,,,False
lag_robustness_aic_stablecoin_exchange_reserve_daily_log_chg,lag_robustness,common_business_day,aic,hy_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,hy_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,1.5915749081769417,0.10225623083258348,"(10, 9870)",False,False,False,10,1481,,,,,False
lag_robustness_aic_stablecoin_exchange_reserve_daily_log_chg,lag_robustness,common_business_day,aic,ig_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,ig_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,1.9201228495106808,0.03791053558754318,"(10, 9870)",True,True,False,10,1481,,,,,False
lag_robustness_aic_stablecoin_exchange_reserve_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_exchange_reserve_daily_log_chg,hy_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,hy_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,1.3121497569068843,0.21714369265776864,"(10, 9870)",False,False,False,10,1481,,,,,False
lag_robustness_aic_stablecoin_exchange_reserve_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_exchange_reserve_daily_log_chg,ig_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,ig_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,1.9658891525846003,0.03277080026372744,"(10, 9870)",True,True,False,10,1481,,,,,False
lag_robustness_aic_stablecoin_exchange_reserve_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_exchange_reserve_daily_log_chg,hy_spread_daily_chg + ig_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,"hy_spread_daily_chg, ig_spread_daily_chg",risk_to_crypto,joint_risk_group,granger_causality_f_test,2.318832762575949,0.0007306388762350146,"(20, 9870)",True,True,True,10,1481,,,,,False
lag_robustness_hqic_stablecoin_exchange_reserve_daily_log_chg,lag_robustness,common_business_day,hqic,hy_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,hy_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,0.12884186967549274,0.7196431678363497,"(1, 10374)",False,False,False,1,1490,,,,,False
