specification,analysis_group,sample_type,lag_criterion,horizon,impulse,response,generalized_irf,cumulative_response_h1_to_h,shock_standard_deviation,shock_definition,cumulative_definition,lag_order,nobs
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,8,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.0005306048509331698,0.005995732546733026,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,9,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.00046643760863496794,0.006462170155367994,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,10,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.00040913791432190357,0.0068713080696898975,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,11,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.0003583522873068119,0.00722966035699671,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,12,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.00031356062146856286,0.007543220978465272,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,13,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.0002741842071700332,0.007817405185635305,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,14,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.0002396439639341062,0.00805704914956941,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,15,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.000209390499750165,0.008266439649319576,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,16,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.00018291812942999218,0.008449357778749568,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,17,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.0001597698827219835,0.00860912766147155,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,18,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.00013953758901826037,0.00874866525048981,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,19,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.00012185940660776803,0.008870524657097579,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,20,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.00010641615471292284,0.008976940811810502,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,0,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,0.00028758914320939344,0.0,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,1,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,0.00617658788065041,0.00617658788065041,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,2,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,0.015099446151266255,0.021276034031916666,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,3,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,-0.0004185525514625378,0.02085748148045413,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,4,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,0.008122824861371303,0.028980306341825433,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,5,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,0.008976160880120897,0.03795646722194633,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,6,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,0.0003540478516088807,0.038310515073555214,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,7,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,0.005667963054363155,0.04397847812791837,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,8,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,-0.008857773380309875,0.0351207047476085,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,9,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,-0.0020590795691940137,0.03306162517841448,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,10,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,-0.0015228022053770957,0.03153882297303739,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,11,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,-0.0010197904700162356,0.030519032503021154,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,12,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,0.005683006765630569,0.036202039268651724,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,13,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,0.0007502976551789623,0.03695233692383069,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,14,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,0.0015344826465121396,0.03848681957034283,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,15,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,-0.0015906326893923668,0.03689618688095046,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,16,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,-0.0005960672827074822,0.03630011959824298,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,17,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,-0.003102066244990871,0.03319805335325211,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,18,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,-0.0025702425570548163,0.030627810796197297,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,19,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,-0.0018851862328474053,0.028742624563349892,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,20,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,-0.001062419658898743,0.02768020490445115,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,0,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.000273451070569804,0.0,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,1,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.002592649001408275,0.002592649001408275,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,2,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.005022300269995048,0.007614949271403323,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,3,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.00106775944797481,0.008682708719378133,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,4,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.0022210325447830238,0.010903741264161156,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,5,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.003053138284496659,0.013956879548657816,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,6,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.0006340656449775778,0.014590945193635393,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,7,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.0007946834045444951,0.01538562859817989,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,8,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,-0.0017027654443372065,0.013682863153842683,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,9,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,-0.00027608230413226546,0.013406780849710418,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,10,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.0006657707578968308,0.014072551607607248,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,11,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.0007227548094883307,0.01479530641709558,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,12,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.0008871625178986006,0.01568246893499418,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,13,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.00021284823908092093,0.0158953171740751,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,14,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.0002452551516607549,0.016140572325735854,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,15,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,-9.653710905403856e-05,0.016044035216681816,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,16,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,-0.0004725731929698976,0.015571462023711919,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,17,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,-0.0011118349379957955,0.014459627085716124,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,18,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,-0.0011106941937111894,0.013348932892004934,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,19,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,-0.0007929549396811417,0.012555977952323792,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,20,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,-0.0005443659240300748,0.012011612028293718,0.005501142929248975,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,10,1481
lag_robustness_hqic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,hqic,0,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,-0.0018246172477337352,0.0,0.0055452522480886075,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,6,1485
lag_robustness_hqic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,hqic,1,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,0.005253141977677661,0.005253141977677661,0.0055452522480886075,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,6,1485
lag_robustness_hqic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,hqic,2,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,0.012462109486746179,0.01771525146442384,0.0055452522480886075,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,6,1485
lag_robustness_hqic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,hqic,3,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,-0.002574887569060635,0.015140363895363206,0.0055452522480886075,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,6,1485
